Landmarkcoord1_,Landmarkcoord2_,Landmarkcoord3_
50.608,54.6509,41.4725
15.7417,-40.1329,-83.6137
-5.7853,-57.5722,-10.4004
74.0915,-0.392595,57.4316
-39.266,-29.5437,72.9786
-19.416,46.9556,-23.4751
-27.8533,23.5714,37.015
-6.88751,-5.55519,-10.3579
6.1921,12.0571,-4.42805
14.2647,-47.0684,23.3191
-0.110084,0.312851,-0.20836
45.0131,-24.2674,-46.818
10.4271,54.6799,-24.7315
28.4651,-59.7316,19.2859
12.7939,37.3719,31.9845
-9.59301,33.3121,8.58589
36.0106,-2.30029,15.0426
28.4443,42.9461,83.2437
-94.1887,4.18026,33.1134
9.79809,52.8277,3.67624
26.1462,17.9275,-22.5805
9.83879,-7.9552,9.06
-9.78169,60.2214,19.7784
-25.0486,-37.9143,-31.6371
23.8489,-27.7929,-35.2238
-37.6106,33.7507,-8.34074
3.93604,-1.58946,72.9512
21.7361,17.4089,27.142
-32.6151,13.1002,8.11998
-38.8153,3.88415,-18.9101
5.5598,-2.60274,12.3544
39.9568,6.67683,-67.6252
-18.2365,18.2833,-25.473
19.0687,-21.6845,-20.941
35.0717,-44.2501,-25.0244
-44.5873,18.3724,9.60213
-31.3881,8.8126,-21.741
-14.6621,8.7578,14.0972
-5.47901,31.5992,-15.6699
36.5997,19.0142,-9.8171
17.765,-18.5398,-26.1117
50.2525,76.6191,37.0711
-2.33936,30.4384,-40.3461
78.3396,-34.4231,-18.019
49.3594,-10.3294,-83.9753
-17.059,16.0495,2.36607
-8.79906,-7.40722,-7.49985
4.86644,-24.6476,25.9733
-9.05458,-49.8488,12.266
-19.4325,-10.5421,28.0732
75.2442,-18.4198,-36.2778
-34.9664,78.5607,19.5594
11.1784,-25.2144,-1.24842
12.3773,12.9075,-11.2632
-50.1296,55.31,-25.2187
55.9141,14.5465,-33.9802
6.98711,-36.9593,8.27175
2.97116,4.07249,3.28499
-46.2663,16.1465,-54.5421
-27.4478,-20.6078,-13.15
24.6009,47.6328,36.5139
-14.4429,-48.0371,59.6907
-37.2843,14.7852,14.9038
5.52564,-6.06791,23.7632
-24.8263,28.6964,-44.5272
-20.0415,-16.1498,0.623445
-51.5373,81.0057,23.2381
29.183,1.36543,-12.4422
49.0289,21.2932,-42.442
17.1213,-33.7289,32.8183
-1.48394,29.4335,-20.2748
-4.0385,32.7161,-60.8678
14.798,18.0285,20.2925
-16.4539,-39.7414,8.42277
39.1502,18.449,29.1203
3.18295,5.86241,3.88584
23.3229,-2.02648,-2.36703
-41.4808,21.3288,-25.2351
-6.54756,-20.724,-53.8483
23.8122,-24.7122,-41.3286
-27.8204,14.9254,24.2126
-50.4808,74.206,25.3097
-44.0016,34.1074,24.3832
-0.776366,-2.04707,2.92567
71.5009,-31.0779,-15.2348
57.72,-14.3303,-50.8669
61.0103,-62.215,48.7296
-18.1501,77.9089,33.942
-21.1308,-17.4869,16.541
-3.83854,15.1201,17.1471
-17.471,55.68,53.4075
-48.2128,-4.12779,51.6503
-8.63879,18.7419,-8.88651
56.0261,39.8864,41.8089
-30.6035,41.5261,-53.7324
71.9164,29.3539,53.4434
-11.127,23.9323,-43.1784
54.87,10.2853,-62.0182
-2.73755,53.4382,-27.9574
9.3651,-25.3041,32.4403
-4.62437,-2.99227,-12.7801
-76.9263,11.3459,41.2497
-19.93,48.7246,5.33106
10.1064,83.9069,32.5548
-59.7839,11.6149,12.323
-38.1302,-11.9897,-48.3892
21.6007,9.26677,-44.038
17.307,-55.3754,-24.4543
6.82063,1.89598,1.34477
2.01785,-9.2011,17.8906
1.00707,-5.44671,-3.63974
8.316,10.6972,1.21202
9.53345,-26.7113,0.463306
4.40814,1.32607,0.267905
73.5176,2.46445,-22.5496
12.8684,44.6574,38.9026
1.04858,27.5228,-15.9646
-5.68678,-13.0893,-7.16783
-66.5053,-15.1834,-32.1948
-12.0402,40.7756,-26.7864
2.62506,17.9116,2.94736
-33.5299,-53.106,16.7955
-7.68619,3.35993,9.90092
2.89112,-11.3444,-80.4945
-23.4485,77.5029,43.9219
1.92031,-3.1824,1.28953
-52.4324,-12.1248,-18.2023
8.72024,-5.0197,4.95683
23.3138,-75.3833,-49.9712
30.8658,-9.27432,30.0457
-5.8688,-11.6691,9.92192
-8.56798,-22.9822,49.5555
-25.8391,-18.4994,-20.1024
20.7414,-17.3209,-27.7429
42.4063,-37.0991,31.2247
7.57285,-16.148,-18.3515
63.9209,54.783,35.1249
-21.5116,-23.9465,11.7169
-57.1259,37.9425,42.0474
-17.1138,6.74676,-23.69
-2.62826,4.52657,4.07301
53.1558,34.6099,-69.598
66.1986,-38.812,26.1358
-40.1503,41.3002,-18.4088
13.6459,-33.5636,15.1257
2.30991,-14.3568,-39.1089
56.3213,-74.1906,15.2934
-53.4128,9.98614,-52.0341
8.26128,-6.20734,26.1944
-33.664,3.43747,-35.3949
32.5704,33.247,13.0239
11.4189,4.8793,0.0536893
-20.2662,-0.797548,58.1297
1.32675,0.729698,7.27371
-16.1719,-39.9092,20.1252
21.7889,7.90686,3.15475
61.5686,73.2073,-10.0193
1.17009,-17.3004,32.6447
14.5512,42.2594,22.911
-23.6416,-48.3729,-46.8994
-26.0614,-2.31209,4.52742
-4.71101,-54.8288,-59.2467
9.10321,-50.5975,6.62606
9.55113,-13.3815,-9.7791
-21.7595,-5.34192,27.4595
52.5303,0.338248,65.202
39.6095,-20.9001,-80.9372
-5.9442,-23.7438,-8.14902
-8.05099,19.863,-22.7512
41.5474,-64.5438,20.6211
39.5747,3.6062,-82.8597
11.2376,-9.98819,21.9401
-21.9319,-20.6871,-17.2024
70.7797,43.7319,-31.6198
-85.2238,21.1796,11.7981
24.9729,21.1172,-6.5838
18.1193,-41.6596,-50.7569
-41.4244,-46.1193,61.1062
10.0237,-28.0847,12.4488
29.609,51.8826,-65.2592
32.8892,-8.33665,26.8282
21.3364,16.7645,0.446388
52.312,0.683836,2.22719
22.4828,33.2693,-4.17047
-1.65315,-2.43239,-1.44576
-28.0341,37.7146,39.2335
15.5216,-39.925,-29.0754
4.31635,-5.07808,3.83185
4.81911,10.4672,5.86067
-26.9957,61.1365,-36.505
42.2953,-35.3569,40.739
6.2355,64.7066,54.0714
-3.5937,11.5901,-13.4038
40.06,-2.3158,39.2984
-24.9678,-33.0051,29.812
-32.919,36.7285,-38.2479
2.42331,-75.6133,33.4227
40.7292,55.8372,27.6576
83.0909,-12.5626,28.8292
-11.2657,-3.9943,-1.32306
-37.1544,-75.3711,-5.82707
10.3019,-12.3178,-17.227
-30.2087,5.06954,45.2086
50.479,-74.9741,6.87953
21.4483,20.4553,8.18427
-23.8896,22.0569,-11.8871
8.30125,-8.231,16.1458
-48.6026,72.3956,-47.6674
-36.8977,12.1489,44.4383
-20.5025,-21.5987,44.554
54.0444,-71.7888,-43.7791
9.71996,-6.65561,5.3066
13.6483,12.5207,18.1987
-49.6755,-15.5937,69.8023
3.89495,-62.3061,46.91
0.309697,-0.889062,-0.975374
-54.069,-38.6915,27.6457
-84.7785,21.3419,26.9534
5.58723,-8.89526,27.4575
-10.5597,-2.72059,4.48951
14.6544,69.4429,29.6923
-67.1376,24.4123,-56.896
6.59442,13.9078,-7.80364
39.5894,42.7481,-32.1832
-9.71873,2.1065,-8.63056
-57.8549,-13.1395,-59.4255
-12.2242,4.01963,-20.3884
-13.2773,-22.2206,94.2341
-7.25346,15.4168,-6.68528
15.5432,4.17834,-9.58051
33.4819,22.1378,29.5953
7.90377,-7.76925,-47.8593
74.6844,-64.7248,-10.7787
-23.3454,-21.5772,-35.5862
-6.15047,9.7913,-14.048
25.3668,-3.08078,-50.8766
0.0357654,40.7327,6.65443
5.08572,-7.06964,-2.78378
21.6528,-19.0567,55.183
-10.0636,58.0878,-11.0783
-39.1253,-54.4772,14.7763
-63.039,67.8513,25.0442
7.0946,0.335422,-5.5884
17.0115,10.1535,-7.50043
42.818,40.5975,-26.7353
3.82819,16.0042,-25.5066
-14.8527,12.9988,3.08969
-9.25369,-7.87199,20.9537
-27.6364,-37.4854,-44.3644
47.9121,-57.5876,25.0588
-0.409563,-0.540528,-0.132884
-10.5524,45.5754,19.959
-10.1315,-9.38858,-2.28455
-0.451813,5.46829,2.86083
-0.959452,23.1155,-22.8626
6.21333,11.4589,-47.4811
-38.1883,-80.4689,-1.31257
27.9262,51.447,-76.0227
-1.76056,-2.67682,-2.37036
44.2477,57.6331,54.5786
-16.9229,-3.07482,19.6189
-43.1902,-13.704,-1.21613
-6.58532,-0.19529,17.2058
-19.1242,43.069,16.2791
51.9027,39.7892,57.1377
23.7332,-64.8819,-41.0059
-12.971,19.0124,-9.0448
22.3816,-26.0551,-16.8471
-2.37298,-4.41867,-2.50361
24.0933,10.021,-33.4259
37.6815,24.1165,-19.0097
5.64591,1.39189,-1.70371
-2.77422,-7.2477,6.75145
-45.5497,68.1186,52.127
