x-value, y-value
3.44328,1.21361
3.44428,1.21385
3.44528,1.21409
3.44628,1.21433
3.44728,1.21457
3.44828,1.21481
3.44928,1.21504
3.45028,1.21528
3.45128,1.21552
3.45228,1.21576
3.45328,1.216
3.45428,1.21624
3.45528,1.21647
3.45628,1.21671
3.45728,1.21695
3.45828,1.21719
3.45928,1.21742
3.46028,1.21766
3.46128,1.2179
3.46228,1.21814
3.46328,1.21837
3.46428,1.21861
3.46528,1.21885
3.46628,1.21908
3.46728,1.21932
3.46828,1.21956
3.46928,1.21979
3.47028,1.22003
3.47128,1.22027
3.47228,1.2205
3.47328,1.22074
3.47428,1.22097
3.47528,1.22121
3.47628,1.22144
3.47728,1.22168
3.47828,1.22192
3.47928,1.22215
3.48028,1.22239
3.48128,1.22262
3.48228,1.22286
3.48328,1.22309
3.48428,1.22332
3.48528,1.22356
3.48628,1.22379
3.48728,1.22403
3.48828,1.22426
3.48928,1.2245
3.49028,1.22473
3.49128,1.22496
3.49228,1.2252
3.49328,1.22543
3.49428,1.22567
3.49528,1.2259
3.49628,1.22613
3.49728,1.22637
3.49828,1.2266
3.49928,1.22683
3.50028,1.22706
3.50128,1.2273
3.50228,1.22753
3.50328,1.22776
3.50428,1.22799
3.50528,1.22823
3.50628,1.22846
3.50728,1.22869
3.50828,1.22892
3.50928,1.22916
3.51028,1.22939
3.51128,1.22962
3.51228,1.22985
3.51328,1.23008
3.51428,1.23031
3.51528,1.23054
3.51628,1.23078
3.51728,1.23101
3.51828,1.23124
3.51928,1.23147
3.52028,1.2317
3.52128,1.23193
3.52228,1.23216
3.52328,1.23239
3.52428,1.23262
3.52528,1.23285
3.52628,1.23308
3.52728,1.23331
3.52828,1.23354
3.52928,1.23377
3.53028,1.234
3.53128,1.23423
3.53228,1.23446
3.53328,1.23469
3.53428,1.23492
3.53528,1.23515
3.53628,1.23538
3.53728,1.2356
3.53828,1.23583
3.53928,1.23606
3.54028,1.23629
3.54128,1.23652
3.54228,1.23675
3.54328,1.23697
3.54428,1.2372
3.54528,1.23743
3.54628,1.23766
3.54728,1.23789
3.54828,1.23811
3.54928,1.23834
3.55028,1.23857
3.55128,1.2388
3.55228,1.23902
3.55328,1.23925
3.55428,1.23948
3.55528,1.23971
3.55628,1.23993
