x-value, y-value
3.56728,1.24246
3.56828,1.24268
3.56928,1.24291
3.57028,1.24313
3.57128,1.24336
3.57228,1.24358
3.57328,1.24381
3.57428,1.24403
3.57528,1.24426
3.57628,1.24448
3.57728,1.24471
3.57828,1.24493
3.57928,1.24516
3.58028,1.24538
3.58128,1.2456
3.58228,1.24583
3.58328,1.24605
3.58428,1.24628
3.58528,1.2465
3.58628,1.24672
3.58728,1.24695
3.58828,1.24717
3.58928,1.24739
3.59028,1.24762
3.59128,1.24784
3.59228,1.24806
3.59328,1.24829
3.59428,1.24851
3.59528,1.24873
3.59628,1.24896
3.59728,1.24918
3.59828,1.2494
3.59928,1.24962
3.60028,1.24985
3.60128,1.25007
3.60228,1.25029
3.60328,1.25051
3.60428,1.25073
3.60528,1.25096
3.60628,1.25118
3.60728,1.2514
3.60828,1.25162
3.60928,1.25184
3.61028,1.25206
3.61128,1.25228
3.61228,1.25251
3.61328,1.25273
3.61428,1.25295
3.61528,1.25317
3.61628,1.25339
3.61728,1.25361
3.61828,1.25383
3.61928,1.25405
3.62028,1.25427
3.62128,1.25449
3.62228,1.25471
3.62328,1.25493
3.62428,1.25515
3.62528,1.25537
3.62628,1.25559
3.62728,1.25581
3.62828,1.25603
3.62928,1.25625
3.63028,1.25647
3.63128,1.25669
3.63228,1.25691
3.63328,1.25713
3.63428,1.25734
3.63528,1.25756
3.63628,1.25778
3.63728,1.258
3.63828,1.25822
3.63928,1.25844
3.64028,1.25866
3.64128,1.25887
3.64228,1.25909
3.64328,1.25931
3.64428,1.25953
3.64528,1.25975
3.64628,1.25996
3.64728,1.26018
3.64828,1.2604
3.64928,1.26062
3.65028,1.26083
3.65128,1.26105
3.65228,1.26127
3.65328,1.26149
3.65428,1.2617
3.65528,1.26192
3.65628,1.26214
3.65728,1.26235
3.65828,1.26257
3.65928,1.26279
3.66028,1.263
3.66128,1.26322
3.66228,1.26343
3.66328,1.26365
3.66428,1.26387
3.66528,1.26408
3.66628,1.2643
3.66728,1.26451
3.66828,1.26473
3.66928,1.26495
3.67028,1.26516
3.67128,1.26538
3.67228,1.26559
3.67328,1.26581
3.67428,1.26602
3.67528,1.26624
3.67628,1.26645
3.67728,1.26667
3.67828,1.26688
3.67928,1.2671
3.68028,1.26731
3.68128,1.26752
3.68228,1.26774
3.68328,1.26795
3.68428,1.26817
3.68528,1.26838
3.68628,1.26859
3.68728,1.26881
3.68828,1.26902
3.68928,1.26924
3.69028,1.26945
3.69128,1.26966
3.69228,1.26988
3.69328,1.27009
3.69428,1.2703
3.69528,1.27052
3.69628,1.27073
3.69728,1.27094
3.69828,1.27115
3.69928,1.27137
3.70028,1.27158
3.70128,1.27179
3.70228,1.272
3.70328,1.27222
3.70428,1.27243
3.70528,1.27264
3.70628,1.27285
3.70728,1.27307
3.70828,1.27328
3.70928,1.27349
3.71028,1.2737
3.71128,1.27391
3.71228,1.27412
3.71328,1.27434
3.71428,1.27455
3.71528,1.27476
3.71628,1.27497
3.71728,1.27518
3.71828,1.27539
3.71928,1.2756
3.72028,1.27581
3.72128,1.27602
3.72228,1.27623
3.72328,1.27644
3.72428,1.27665
3.72528,1.27687
3.72628,1.27708
3.72728,1.27729
3.72828,1.2775
3.72928,1.27771
3.73028,1.27792
3.73128,1.27813
3.73228,1.27833
3.73328,1.27854
3.73428,1.27875
3.73528,1.27896
3.73628,1.27917
3.73728,1.27938
3.73828,1.27959
3.73928,1.2798
3.74028,1.28001
3.74128,1.28022
3.74228,1.28043
3.74328,1.28064
3.74428,1.28084
3.74528,1.28105
3.74628,1.28126
3.74728,1.28147
3.74828,1.28168
3.74928,1.28189
3.75028,1.28209
3.75128,1.2823
3.75228,1.28251
3.75328,1.28272
3.75428,1.28292
3.75528,1.28313
3.75628,1.28334
3.75728,1.28355
3.75828,1.28375
3.75928,1.28396
3.76028,1.28417
3.76128,1.28438
3.76228,1.28458
3.76328,1.28479
3.76428,1.285
3.76528,1.2852
3.76628,1.28541
3.76728,1.28562
3.76828,1.28582
3.76928,1.28603
3.77028,1.28624
3.77128,1.28644
3.77228,1.28665
3.77328,1.28685
3.77428,1.28706
3.77528,1.28727
3.77628,1.28747
3.77728,1.28768
3.77828,1.28788
3.77928,1.28809
3.78028,1.28829
3.78128,1.2885
3.78228,1.2887
3.78328,1.28891
3.78428,1.28911
3.78528,1.28932
3.78628,1.28952
3.78728,1.28973
3.78828,1.28993
3.78928,1.29014
3.79028,1.29034
3.79128,1.29055
3.79228,1.29075
3.79328,1.29096
3.79428,1.29116
3.79528,1.29136
3.79628,1.29157
3.79728,1.29177
3.79828,1.29198
3.79928,1.29218
3.80028,1.29238
3.80128,1.29259
3.80228,1.29279
3.80328,1.29299
3.80428,1.2932
3.80528,1.2934
3.80628,1.2936
3.80728,1.29381
3.80828,1.29401
3.80928,1.29421
3.81028,1.29442
3.81128,1.29462
3.81228,1.29482
3.81328,1.29502
3.81428,1.29523
3.81528,1.29543
3.81628,1.29563
3.81728,1.29583
3.81828,1.29604
3.81928,1.29624
3.82028,1.29644
3.82128,1.29664
3.82228,1.29684
3.82328,1.29704
3.82428,1.29725
3.82528,1.29745
3.82628,1.29765
3.82728,1.29785
3.82828,1.29805
3.82928,1.29825
3.83028,1.29845
3.83128,1.29866
3.83228,1.29886
